num_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/clip_range
2048.0,,,,,,,,,,,
4096.0,0.0003,-42.581643438339235,-0.04460182357870508,0.009085729456273839,0.01727188751101494,0.19453125,-0.4940193295478821,-0.2696584463119507,1.0007423162460327,10.0,0.2
6144.0,0.0003,-42.62978663444519,-0.047556951036676766,0.0030779135369812137,0.0158926323056221,0.1642578125,-0.49592170119285583,0.5936551690101624,1.0033632516860962,20.0,0.2
8192.0,0.0003,-42.715951156616214,-0.06075882451259531,0.0017704721409245393,0.021187616512179375,0.216943359375,-0.5163232684135437,0.7635377645492554,1.0059070587158203,30.0,0.2
10240.0,0.0003,-42.75066351890564,-0.0617632474983111,0.001696370163699612,0.021586280316114426,0.24013671875,-0.5212154388427734,0.7170949578285217,1.0064220428466797,40.0,0.2
12288.0,0.0003,-42.76346516609192,-0.0634667012578575,0.0013278796366648748,0.023894745856523514,0.270751953125,-0.5150651931762695,0.8270864486694336,1.0068262815475464,50.0,0.2
14336.0,0.0003,-42.81323776245117,-0.06501217456534505,0.001138798735337332,0.02395375445485115,0.265087890625,-0.5360645651817322,0.8760345578193665,1.009873867034912,60.0,0.2
16384.0,0.0003,-42.89808549880981,-0.062427954468876126,0.0009371884632855653,0.02151067927479744,0.2482421875,-0.529321551322937,0.8783124685287476,1.0121713876724243,70.0,0.2
18432.0,0.0003,-42.95862879753113,-0.06939206232200376,0.0007524328535509994,0.025152461603283882,0.284130859375,-0.5462635159492493,0.8996732234954834,1.0138649940490723,80.0,0.2
20480.0,0.0003,-42.99509224891663,-0.06236958135268651,0.0011350528817274607,0.022481318563222885,0.24873046875,-0.5247684717178345,0.8400421738624573,1.0149571895599365,90.0,0.2
22528.0,0.0003,-43.03915190696716,-0.06592087604803964,0.0008062448727287119,0.023556647822260857,0.25517578125,-0.5421829223632812,0.8712432384490967,1.0167444944381714,100.0,0.2
24576.0,0.0003,-43.09288449287415,-0.07360878228209913,0.0008388843867578544,0.028209030628204346,0.306689453125,-0.5395889282226562,0.9110224843025208,1.0186119079589844,110.0,0.2
26624.0,0.0003,-43.12488632202148,-0.0613596666516969,0.0009123168645601254,0.02383948117494583,0.2615234375,-0.5302402377128601,0.8928855657577515,1.0192971229553223,120.0,0.2
28672.0,,,,,,,,,,,
30720.0,0.0003,-43.196353340148924,-0.06905600010650233,0.000910115752776619,0.024830259382724762,0.268896484375,-0.5464360117912292,0.8871822357177734,1.0213978290557861,140.0,0.2
32768.0,0.0003,-43.21084003448486,-0.07244136419612915,0.0009690735940239392,0.02966313436627388,0.317626953125,-0.5331915616989136,0.815610408782959,1.0224555730819702,150.0,0.2
34816.0,0.0003,-43.263419723510744,-0.070337044011103,0.0007790430325258057,0.028225339949131012,0.298095703125,-0.5296685695648193,0.881730854511261,1.0246047973632812,160.0,0.2
36864.0,0.0003,-43.325457668304445,-0.0664622048730962,0.000988341595075326,0.029090337455272675,0.317333984375,-0.5358607172966003,0.835434079170227,1.026509165763855,170.0,0.2
38912.0,0.0003,-43.36941962242126,-0.07062202152446843,0.0007615821039507864,0.026243172585964203,0.3005859375,-0.5390720367431641,0.8946939706802368,1.027902364730835,180.0,0.2
40960.0,0.0003,-43.40127968788147,-0.06564883689861745,0.0012246173355379142,0.028117291629314423,0.29208984375,-0.5286334156990051,0.8895858526229858,1.0288386344909668,190.0,0.2
43008.0,0.0003,-43.43104591369629,-0.07384530987474136,0.000782488538970938,0.028919564560055733,0.3,-0.5382867455482483,0.9021294713020325,1.0299561023712158,200.0,0.2
45056.0,0.0003,-43.474325847625735,-0.06980068543925881,0.0007751750970783177,0.0286636333912611,0.3060546875,-0.5462812781333923,0.9138223528862,1.031548023223877,210.0,0.2
47104.0,0.0003,-43.5094358921051,-0.07390450320090167,0.0008044134709052741,0.03139316290616989,0.32734375,-0.5394598841667175,0.9161430597305298,1.0326592922210693,220.0,0.2
49152.0,0.0003,-43.56655240058899,-0.0708491917932406,0.0008893283971701749,0.03271729499101639,0.3443359375,-0.5437921285629272,0.9057393670082092,1.0353769063949585,230.0,0.2
51200.0,0.0003,-43.63226656913757,-0.06796351980883628,0.0009997405388276093,0.031005052849650383,0.321044921875,-0.5374786853790283,0.9060543179512024,1.0372878313064575,240.0,0.2
53248.0,0.0003,-43.70294904708862,-0.0666561478516087,0.001130144153285073,0.03278820589184761,0.316650390625,-0.5341395139694214,0.9096161127090454,1.0404245853424072,250.0,0.2
55296.0,,,,,,,,,,,
57344.0,0.0003,-43.81108179092407,-0.06784146699355915,0.0005591060897131683,0.029122047126293182,0.299169921875,-0.537447452545166,0.9340171813964844,1.0432230234146118,270.0,0.2
59392.0,0.0003,-43.872518110275266,-0.06983997179195285,0.0008267884699307615,0.031049076467752457,0.3201171875,-0.5344192385673523,0.8986690044403076,1.04617178440094,280.0,0.2
61440.0,0.0003,-43.918003940582274,-0.06886613466776907,0.0007703875118750148,0.027852270752191544,0.302490234375,-0.548821210861206,0.9287883043289185,1.0465999841690063,290.0,0.2
63488.0,0.0003,-43.95444164276123,-0.06902828806778416,0.0006908918207045644,0.029234305024147034,0.3095703125,-0.5488722324371338,0.921109139919281,1.0483835935592651,300.0,0.2
65536.0,0.0003,-44.00155072212219,-0.07725248633651063,0.0007111977552995086,0.03402315825223923,0.3271484375,-0.55754554271698,0.9271880984306335,1.0502175092697144,310.0,0.2
67584.0,0.0003,-44.050621843338014,-0.0754228770150803,0.0005235215001448523,0.03582783788442612,0.343603515625,-0.551823079586029,0.9363418817520142,1.0516093969345093,320.0,0.2
69632.0,0.0003,-44.091935062408446,-0.07591105306637473,0.0005589733416854869,0.03467363864183426,0.342333984375,-0.5636516213417053,0.9270399212837219,1.0531593561172485,330.0,0.2
71680.0,0.0003,-44.11422233581543,-0.07053822001907975,0.0005939136579399928,0.030481625348329544,0.310888671875,-0.5545209646224976,0.9155607223510742,1.0534381866455078,340.0,0.2
73728.0,0.0003,-44.14104328155518,-0.07102552340948023,0.0009926230166456662,0.03394328057765961,0.340771484375,-0.5445789694786072,0.9177916049957275,1.0553512573242188,350.0,0.2
75776.0,0.0003,-44.20555882453918,-0.06979423741577193,0.0009001436301332433,0.029616564512252808,0.31494140625,-0.5534297823905945,0.868728756904602,1.05696702003479,360.0,0.2
77824.0,0.0003,-44.23344082832337,-0.0751615403831238,0.0005106485667056404,0.034075021743774414,0.357421875,-0.5588813424110413,0.9230298399925232,1.0578804016113281,370.0,0.2
79872.0,0.0003,-44.281243848800656,-0.07706947356346064,0.0006592242578335572,0.03833211213350296,0.36171875,-0.5510639548301697,0.9268113970756531,1.060404896736145,380.0,0.2
81920.0,,,,,,,,,,,
83968.0,0.0003,-44.43021821975708,-0.07155581442639232,0.0006335864738503006,0.035935916006565094,0.333203125,-0.5432876944541931,0.8947268128395081,1.0663244724273682,400.0,0.2
86016.0,0.0003,-44.5091691493988,-0.0709663390996866,0.0011925837789021898,0.03257273510098457,0.340478515625,-0.5543251037597656,0.8964332342147827,1.0677837133407593,410.0,0.2
88064.0,0.0003,-44.54840240478516,-0.07573734764009714,0.0007049906922475202,0.03842584043741226,0.356396484375,-0.5576664209365845,0.9189355969429016,1.0692931413650513,420.0,0.2
90112.0,0.0003,-44.59512190818786,-0.0719441226683557,0.0006646838093729457,0.03366011381149292,0.330859375,-0.5603474378585815,0.8880476951599121,1.071435570716858,430.0,0.2
92160.0,0.0003,-44.644261026382445,-0.08142959966498893,0.0005459173524286598,0.040125805884599686,0.364208984375,-0.5712254047393799,0.9376376867294312,1.0730031728744507,440.0,0.2
94208.0,0.0003,-44.71612634658813,-0.07887154523050413,0.0005704734900064068,0.037622977048158646,0.37392578125,-0.5634088516235352,0.9179742336273193,1.075991153717041,450.0,0.2
96256.0,0.0003,-44.78848519325256,-0.06781717619160191,0.0011680936426273548,0.03195597976446152,0.32314453125,-0.5539032816886902,0.9213117361068726,1.0783411264419556,460.0,0.2
98304.0,0.0003,-44.849100255966185,-0.08204462677240372,0.0005037288068706402,0.04054459184408188,0.37705078125,-0.5693677067756653,0.9307215213775635,1.080521821975708,470.0,0.2
100352.0,0.0003,-44.9245566368103,-0.07558843577862717,0.000650126694017672,0.038350023329257965,0.360107421875,-0.5637133717536926,0.8930765390396118,1.0835050344467163,480.0,0.2
102400.0,0.0003,-44.982348918914795,-0.0798313430743292,0.0005330163548933342,0.03589358180761337,0.3640625,-0.5708620548248291,0.9277147054672241,1.0848928689956665,490.0,0.2
104448.0,0.0003,-45.02092432975769,-0.06431523264618591,0.001021860056789592,0.03144250065088272,0.3158203125,-0.5456671118736267,0.8850739002227783,1.0866012573242188,500.0,0.2
106496.0,0.0003,-45.073912382125854,-0.07792619803221897,0.000643702880552155,0.041642189025878906,0.35888671875,-0.5668384432792664,0.9098926782608032,1.0885950326919556,510.0,0.2
108544.0,,,,,,,,,,,
110592.0,0.0003,-45.20775308609009,-0.07782029368681834,0.0005104831674543675,0.04091261327266693,0.37578125,-0.5663878321647644,0.9044329524040222,1.0932568311691284,530.0,0.2
112640.0,0.0003,-45.2421600818634,-0.08131677664641757,0.0005310271044436377,0.04005496948957443,0.390673828125,-0.5750771760940552,0.9279599189758301,1.0941786766052246,540.0,0.2
114688.0,0.0003,-45.27961087226868,-0.07416802039369941,0.0008834545253193938,0.036205701529979706,0.35859375,-0.5628170371055603,0.8932515382766724,1.0962153673171997,550.0,0.2
116736.0,0.0003,-45.32775874137879,-0.08320736289897468,0.0006829490441305098,0.04309466481208801,0.394140625,-0.5768163204193115,0.8537781238555908,1.097541093826294,560.0,0.2
118784.0,0.0003,-45.3743718624115,-0.07938188292318955,0.0006650635248661274,0.03901614993810654,0.387939453125,-0.5750008225440979,0.8722563982009888,1.0997306108474731,570.0,0.2
120832.0,0.0003,-45.4426411151886,-0.08866280580841704,0.00046239117073128,0.043483100831508636,0.398486328125,-0.5832080841064453,0.9114519357681274,1.102293848991394,580.0,0.2
122880.0,0.0003,-45.5316240310669,-0.07701345265377313,0.000556763201529975,0.04044286906719208,0.379736328125,-0.5694692730903625,0.9307838082313538,1.1059949398040771,590.0,0.2
124928.0,0.0003,-45.62266101837158,-0.06753478096215985,0.0012816727496101521,0.046100229024887085,0.3919921875,-0.549178957939148,0.8602818846702576,1.1095575094223022,600.0,0.2
126976.0,0.0003,-45.692383480072024,-0.08315905078779906,0.0008016162559215445,0.04419326037168503,0.386083984375,-0.5705113410949707,0.9126276969909668,1.1108412742614746,610.0,0.2
129024.0,0.0003,-45.729255533218385,-0.08405628795735538,0.0005135361181601184,0.04440659284591675,0.393017578125,-0.5770508646965027,0.9411854147911072,1.1121729612350464,620.0,0.2
131072.0,0.0003,-45.76589159965515,-0.08299274129676633,0.000704859993129503,0.045293934643268585,0.40732421875,-0.5752620100975037,0.9270108342170715,1.113693118095398,630.0,0.2
133120.0,0.0003,-45.807217264175414,-0.07927064346149564,0.0007756838880595751,0.0407903715968132,0.384912109375,-0.5753889679908752,0.9010425806045532,1.1154396533966064,640.0,0.2
135168.0,,,,,,,,,,,
137216.0,0.0003,-45.92799921035767,-0.07717848549364134,0.0006029244515957544,0.04112907871603966,0.390380859375,-0.5792391896247864,0.907421886920929,1.1202369928359985,660.0,0.2
139264.0,0.0003,-45.9869903087616,-0.07742118501337245,0.0006725504808855476,0.04091569781303406,0.3873046875,-0.5708355903625488,0.9064727425575256,1.1218335628509521,670.0,0.2
141312.0,0.0003,-46.04651780128479,-0.08359520299127325,0.0005779235503723612,0.04828965663909912,0.421728515625,-0.5771027207374573,0.9432884454727173,1.124898910522461,680.0,0.2
143360.0,0.0003,-46.140055894851685,-0.06608400651020929,0.0007234949476696784,0.040990278124809265,0.362109375,-0.5621519684791565,0.9165142178535461,1.1294516324996948,690.0,0.2
145408.0,0.0003,-46.232190990448,-0.07965705777751282,0.0007328066774789476,0.040763821452856064,0.368994140625,-0.5830155611038208,0.9133329391479492,1.131449580192566,700.0,0.2
147456.0,0.0003,-46.28987374305725,-0.07311853918945417,0.0006620138825383038,0.04386485368013382,0.400830078125,-0.5615639686584473,0.8887638449668884,1.1339187622070312,710.0,0.2
149504.0,0.0003,-46.38895921707153,-0.08170411480241455,0.0006087137433496536,0.048121482133865356,0.41865234375,-0.5865446925163269,0.9307497143745422,1.1384660005569458,720.0,0.2
151552.0,0.0003,-46.466650295257566,-0.08513464427087455,0.00040792252657411153,0.04355768486857414,0.397314453125,-0.5879893898963928,0.9227790236473083,1.1402745246887207,730.0,0.2
153600.0,0.0003,-46.52368235588074,-0.07750235274434089,0.0006867090392915998,0.0417294017970562,0.3740234375,-0.5876667499542236,0.9069483280181885,1.1426857709884644,740.0,0.2
155648.0,0.0003,-46.591940784454344,-0.08097748777945526,0.0005131503377924674,0.04321694001555443,0.409814453125,-0.5915905237197876,0.9503024816513062,1.1454815864562988,750.0,0.2
157696.0,0.0003,-46.66866850852966,-0.08023131799418479,0.0006312350698863157,0.044717758893966675,0.378173828125,-0.5814560055732727,0.9515683054924011,1.1486836671829224,760.0,0.2
159744.0,0.0003,-46.74823212623596,-0.07829965985147283,0.0007051055370538961,0.044780753552913666,0.396533203125,-0.5835723876953125,0.9182144999504089,1.151119351387024,770.0,0.2
161792.0,,,,,,,,,,,
163840.0,0.0003,-46.87276120185852,-0.0836870876722969,0.0006222689316928154,0.049453005194664,0.426806640625,-0.5924564599990845,0.8963653445243835,1.155970811843872,790.0,0.2
165888.0,0.0003,-46.93123598098755,-0.07523882187670097,0.0007903851783339633,0.04119362682104111,0.377734375,-0.5961491465568542,0.9382453560829163,1.1579997539520264,800.0,0.2
167936.0,0.0003,-47.00081553459167,-0.08074311985401436,0.0006807354380725883,0.04460567608475685,0.405078125,-0.5885826349258423,0.9429060816764832,1.1612536907196045,810.0,0.2
169984.0,0.0003,-47.075137281417845,-0.07355917232343927,0.0008831397117319284,0.04756006598472595,0.406494140625,-0.5801593065261841,0.9087101817131042,1.1641944646835327,820.0,0.2
172032.0,0.0003,-47.12669334411621,-0.08149765307316556,0.0005474282865179702,0.04740219563245773,0.399853515625,-0.5901026129722595,0.8791552782058716,1.1652028560638428,830.0,0.2
174080.0,0.0003,-47.17846794128418,-0.0814084718702361,0.00043738400909205667,0.054622650146484375,0.435205078125,-0.5899152755737305,0.9188488125801086,1.1684799194335938,840.0,0.2
176128.0,0.0003,-47.265416860580444,-0.08269261944806203,0.0005557739470532397,0.04933587461709976,0.427685546875,-0.5946224331855774,0.9468154311180115,1.1720257997512817,850.0,0.2
178176.0,0.0003,-47.352089405059814,-0.08801960968412459,0.000453563209521235,0.04600626230239868,0.400244140625,-0.6100659370422363,0.9262315034866333,1.1751724481582642,860.0,0.2
180224.0,0.0003,-47.42550072669983,-0.08030341422418133,0.0006270843237871304,0.046632468700408936,0.4091796875,-0.5997071266174316,0.9158675670623779,1.1776410341262817,870.0,0.2
182272.0,0.0003,-47.49877276420593,-0.07575782077619805,0.0006510877283290029,0.05340953916311264,0.419091796875,-0.5797352194786072,0.9309027194976807,1.1815924644470215,880.0,0.2
184320.0,0.0003,-47.60225586891174,-0.08768876962130889,0.0005025057653256226,0.05226706713438034,0.4158203125,-0.5993984937667847,0.9393739700317383,1.1851564645767212,890.0,0.2
186368.0,0.0003,-47.67152428627014,-0.08350497665815056,0.0004799481961526908,0.051358871161937714,0.425732421875,-0.5987451672554016,0.9603594541549683,1.1873716115951538,900.0,0.2
188416.0,,,,,,,,,,,
190464.0,0.0003,-47.813876438140866,-0.08355924156494439,0.0005002859190426534,0.04451999068260193,0.408447265625,-0.5985701084136963,0.9682685732841492,1.1927999258041382,920.0,0.2
192512.0,0.0003,-47.87177591323852,-0.07421766684274189,0.0006493903347291052,0.051067814230918884,0.398681640625,-0.5918139815330505,0.9245581030845642,1.1959174871444702,930.0,0.2
194560.0,0.0003,-47.93735041618347,-0.07964141507400199,0.00042700871181295953,0.04756994545459747,0.408154296875,-0.5883913040161133,0.9562602043151855,1.1973040103912354,940.0,0.2
196608.0,0.0003,-47.99046950340271,-0.08663177998969332,0.0004985042567568598,0.054738849401474,0.447802734375,-0.6096014976501465,0.9600847363471985,1.2007038593292236,950.0,0.2
198656.0,0.0003,-48.05846328735352,-0.08442698005819693,0.00037682449856220047,0.04655740410089493,0.41044921875,-0.6087780594825745,0.9613285064697266,1.2029167413711548,960.0,0.2
200704.0,0.0003,-48.14482097625732,-0.07574580454383976,0.0007010134104348253,0.054197534918785095,0.43232421875,-0.5940897464752197,0.9208534359931946,1.2079964876174927,970.0,0.2
202752.0,0.0003,-48.25145010948181,-0.07402578452019952,0.0006678098066913663,0.04253038763999939,0.3837890625,-0.5893227458000183,0.9538633823394775,1.2102667093276978,980.0,0.2
204800.0,0.0003,-48.2717523097992,-0.07821685816161335,0.0009738612461660523,0.045951806008815765,0.406591796875,-0.6007345914840698,0.9545292854309082,1.2107605934143066,990.0,0.2
206848.0,0.0003,-48.31895580291748,-0.08645313670858741,0.0004408643999340711,0.04977826029062271,0.4158203125,-0.6112393140792847,0.9625695943832397,1.214301586151123,1000.0,0.2
208896.0,0.0003,-48.40241470336914,-0.08411609234753996,0.0003960847963753622,0.04798710346221924,0.4154296875,-0.6026005148887634,0.9476264715194702,1.217138648033142,1010.0,0.2
210944.0,0.0003,-48.46743478775024,-0.08039613752625882,0.0005217882277065655,0.048450011759996414,0.40009765625,-0.608161449432373,0.9365794658660889,1.2194806337356567,1020.0,0.2
212992.0,0.0003,-48.509022903442386,-0.07739957124285865,0.0004920535317069153,0.04540538042783737,0.395703125,-0.5991260409355164,0.9513343572616577,1.2206181287765503,1030.0,0.2
215040.0,,,,,,,,,,,
217088.0,0.0003,-48.58033223152161,-0.08075442856643349,0.0003927499630663078,0.04909442365169525,0.41650390625,-0.6137321591377258,0.9256973266601562,1.224565029144287,1050.0,0.2
219136.0,0.0003,-48.65347013473511,-0.07773566135438159,0.0004374220636236714,0.05150230973958969,0.428076171875,-0.6050429344177246,0.9445607662200928,1.22722589969635,1060.0,0.2
221184.0,0.0003,-48.732167625427245,-0.08358805472962558,0.0003728790414243122,0.047905631363391876,0.415966796875,-0.6063393950462341,0.9659050107002258,1.2306004762649536,1070.0,0.2
223232.0,0.0003,-48.81413989067077,-0.07860114561626688,0.0005216975772782462,0.05122769996523857,0.41513671875,-0.6061121821403503,0.9692400097846985,1.2342156171798706,1080.0,0.2
225280.0,0.0003,-48.88744492530823,-0.08651078186230735,0.0003882726090523647,0.0496254526078701,0.41689453125,-0.6174358129501343,0.9652823209762573,1.2362258434295654,1090.0,0.2
227328.0,0.0003,-48.92211737632751,-0.08476022615213878,0.0004257354188666795,0.049290671944618225,0.417822265625,-0.6244587898254395,0.9513705372810364,1.2376965284347534,1100.0,0.2
229376.0,0.0003,-48.974636268615725,-0.07422750683035702,0.0005765354151662904,0.044203322380781174,0.370068359375,-0.6087442636489868,0.9405108094215393,1.2406033277511597,1110.0,0.2
231424.0,0.0003,-49.06427884101868,-0.07143558386014774,0.0007000550660450245,0.05283203348517418,0.41826171875,-0.5943326950073242,0.9403307437896729,1.2448458671569824,1120.0,0.2
233472.0,0.0003,-49.158431720733645,-0.0892775289597921,0.0005569157307036221,0.054566748440265656,0.450732421875,-0.6314639449119568,0.9538163542747498,1.2480343580245972,1130.0,0.2
235520.0,0.0003,-49.23832926750183,-0.08918042576988228,0.0004704788070739596,0.06464256346225739,0.47509765625,-0.6148329377174377,0.9400168061256409,1.251850962638855,1140.0,0.2
237568.0,0.0003,-49.320803022384645,-0.07581144096329809,0.0006482034354121424,0.0515519417822361,0.404345703125,-0.611943244934082,0.9354703426361084,1.254827618598938,1150.0,0.2
239616.0,0.0003,-49.377448606491086,-0.08789843901759013,0.0005947319550614338,0.057280171662569046,0.4572265625,-0.6229290962219238,0.9458401203155518,1.25654137134552,1160.0,0.2
241664.0,,,,,,,,,,,
243712.0,0.0003,-49.47545828819275,-0.08000627910951152,0.0005968040008156094,0.05283689498901367,0.423828125,-0.6107873916625977,0.9453694820404053,1.261032223701477,1180.0,0.2
245760.0,0.0003,-49.52627596855164,-0.09190264736535028,0.0005828903205838288,0.05824768543243408,0.45791015625,-0.6343380808830261,0.9551364183425903,1.2628238201141357,1190.0,0.2
247808.0,0.0003,-49.567340183258054,-0.06917165581253357,0.0007720838973909849,0.050373613834381104,0.40703125,-0.5933031439781189,0.9119031429290771,1.265401005744934,1200.0,0.2
249856.0,0.0003,-49.6134135723114,-0.0833700226212386,0.0004732248835352948,0.05872206389904022,0.435986328125,-0.6188628673553467,0.9534961581230164,1.2665410041809082,1210.0,0.2
251904.0,0.0003,-49.65303888320923,-0.08329063850687816,0.0005066916903160746,0.04855445772409439,0.415869140625,-0.6199823021888733,0.9556213617324829,1.2688547372817993,1220.0,0.2
253952.0,0.0003,-49.71445231437683,-0.08187503947410732,0.0006985047337366268,0.054194316267967224,0.433544921875,-0.6139722466468811,0.96051424741745,1.271557092666626,1230.0,0.2
256000.0,0.0003,-49.7925904750824,-0.08293606870574877,0.000457939281113795,0.05291980504989624,0.42763671875,-0.6189378499984741,0.9616626501083374,1.276069164276123,1240.0,0.2
258048.0,0.0003,-49.893734550476076,-0.07835929356515407,0.0005123912440467393,0.0471302829682827,0.39677734375,-0.6125185489654541,0.9687882661819458,1.2796260118484497,1250.0,0.2
260096.0,0.0003,-49.97140679359436,-0.07618607161566615,0.0007950134211569093,0.04985414445400238,0.415625,-0.607893168926239,0.9223096966743469,1.282236933708191,1260.0,0.2
262144.0,0.0003,-50.04314980506897,-0.08482481315732002,0.00047838838581810706,0.05760269612073898,0.45302734375,-0.6184279918670654,0.9556382298469543,1.286615252494812,1270.0,0.2
264192.0,0.0003,-50.15152440071106,-0.0838863615412265,0.0003854554151985212,0.05360095947980881,0.434912109375,-0.6117411851882935,0.963681161403656,1.2913464307785034,1280.0,0.2
266240.0,0.0003,-50.251604080200195,-0.08388522546738386,0.0004821338730835123,0.05191953852772713,0.42099609375,-0.6258227825164795,0.9696786999702454,1.2951691150665283,1290.0,0.2
268288.0,,,,,,,,,,,
270336.0,0.0003,-50.35746765136719,-0.08030296501237899,0.0004017955478047952,0.052382223308086395,0.42548828125,-0.6230754852294922,0.9785100817680359,1.2989038228988647,1310.0,0.2
272384.0,0.0003,-50.415195846557616,-0.08105135539080947,0.0005592348697973648,0.05454646050930023,0.427783203125,-0.6296208500862122,0.9690501689910889,1.3023277521133423,1320.0,0.2
274432.0,0.0003,-50.49045720100403,-0.09145479951403104,0.00044038838459528053,0.05822069197893143,0.4576171875,-0.6399176120758057,0.9715250134468079,1.3058940172195435,1330.0,0.2
276480.0,0.0003,-50.58222460746765,-0.08478156124474481,0.0004056092886457918,0.05604899302124977,0.452685546875,-0.6276635527610779,0.9390375018119812,1.309936285018921,1340.0,0.2
278528.0,0.0003,-50.64007482528687,-0.08233008998213336,0.000686422201761161,0.055106788873672485,0.441015625,-0.6260721683502197,0.9614759087562561,1.3110753297805786,1350.0,0.2
280576.0,0.0003,-50.68308210372925,-0.08382402000715956,0.0005992637023155111,0.05331459641456604,0.445068359375,-0.6218979358673096,0.9695116281509399,1.3136191368103027,1360.0,0.2
282624.0,0.0003,-50.74235672950745,-0.08347246422199532,0.0005682930448529077,0.0629812479019165,0.453271484375,-0.6316104531288147,0.9343194961547852,1.3164427280426025,1370.0,0.2
284672.0,0.0003,-50.79628238677979,-0.07425093975616619,0.0005800430726594641,0.050629839301109314,0.3982421875,-0.6274746060371399,0.9409844279289246,1.318457007408142,1380.0,0.2
286720.0,0.0003,-50.86067271232605,-0.08426177096844185,0.0005165326045244,0.06521980464458466,0.4498046875,-0.6269949674606323,0.9407837390899658,1.3219821453094482,1390.0,0.2
288768.0,0.0003,-50.92830300331116,-0.07639066789997742,0.0005928151349507971,0.05243096500635147,0.434130859375,-0.6236777901649475,0.953654408454895,1.32437002658844,1400.0,0.2
290816.0,0.0003,-50.95838265419006,-0.07737029081908986,0.0005779525919933804,0.05308980867266655,0.42509765625,-0.6293023228645325,0.9568889141082764,1.3251912593841553,1410.0,0.2
292864.0,0.0003,-50.98181567192078,-0.08191042341059074,0.0006711119742249139,0.04842645674943924,0.4013671875,-0.6366921067237854,0.9684730172157288,1.3261691331863403,1420.0,0.2
294912.0,,,,,,,,,,,
296960.0,0.0003,-51.187659120559694,-0.08725639696931467,0.0004819819841941353,0.057005636394023895,0.463525390625,-0.6396182179450989,0.9589105844497681,1.3370444774627686,1440.0,0.2
299008.0,0.0003,-51.2795081615448,-0.07787951438222081,0.000568022730294615,0.05788225680589676,0.43798828125,-0.6232892870903015,0.9480456113815308,1.341264009475708,1450.0,0.2
301056.0,0.0003,-51.35190834999084,-0.08501013554632664,0.0005021337390644475,0.05126059800386429,0.42041015625,-0.6433790326118469,0.9674211740493774,1.3433016538619995,1460.0,0.2
303104.0,0.0003,-51.426814031600955,-0.08190569651778787,0.0005005438728403533,0.060837388038635254,0.435693359375,-0.6365125179290771,0.962722659111023,1.3478037118911743,1470.0,0.2
305152.0,0.0003,-51.513176345825194,-0.08688318317290396,0.00041179453019140054,0.06246596574783325,0.45703125,-0.6392237544059753,0.9642626047134399,1.351393222808838,1480.0,0.2
307200.0,0.0003,-51.57826476097107,-0.08907079342752695,0.00043696648172044663,0.058632805943489075,0.462646484375,-0.6444088220596313,0.9705657958984375,1.3538753986358643,1490.0,0.2
309248.0,0.0003,-51.66024684906006,-0.0813656653626822,0.0005386527369410033,0.06441207975149155,0.458154296875,-0.6396063566207886,0.9660992622375488,1.3577708005905151,1500.0,0.2
311296.0,0.0003,-51.73217701911926,-0.08813482995610684,0.00042483856377657504,0.063108891248703,0.467578125,-0.6464677453041077,0.9777877926826477,1.36172616481781,1510.0,0.2
313344.0,0.0003,-51.80836725234985,-0.08455231873085722,0.0004711210462119197,0.073659248650074,0.456103515625,-0.6401699185371399,0.9579886198043823,1.3645479679107666,1520.0,0.2
315392.0,0.0003,-51.86946330070496,-0.08585103507502936,0.0006330033054837258,0.05806523188948631,0.456689453125,-0.6464271545410156,0.9534673690795898,1.3673402070999146,1530.0,0.2
317440.0,0.0003,-51.94150023460388,-0.08265989922510926,0.000637671352160396,0.05579182505607605,0.434228515625,-0.6374165415763855,0.9570407867431641,1.370726227760315,1540.0,0.2
319488.0,0.0003,-52.00445079803467,-0.08032575004035607,0.0005252415176073555,0.06236625835299492,0.432373046875,-0.6266996264457703,0.9378994703292847,1.373583436012268,1550.0,0.2
